id,name,tribe1,tribe2,rarity,cost,culture1,culture2,category,series
SYBH,凶犬人形ジュンカツ,デスパペット,,C,2,闇,,クリーチャー,伝説の再誕
V4BH,刃滅人形ポール,デスパペット,,C,2,闇,,クリーチャー,伝説の再誕
AABH,ボーンおどり・チャージャー,呪文,,R,3,闇,,呪文,伝説の再誕
ZABH,悪戯人形ハロ,デスパペット,,C,4,闇,,クリーチャー,伝説の再誕
GIBH,黒神龍ギランド,ドラゴン・ゾンビ,,UC,4,闇,,クリーチャー,伝説の再誕
ZABU,邪魂創世,呪文,,UC,4,闇,,呪文,伝説の再誕
AABI,リバース・チャージャー,呪文,,C,4,闇,,呪文,伝説の再誕
ZABG,暗黒皇女メガリア,ダークロード,,R,5,闇,,クリーチャー,伝説の再誕
PUBH,戦艦男,ヘドリアン,,UC,6,闇,,クリーチャー,伝説の再誕
JMBH,黒神龍ゾルヴェール,ドラゴン・ゾンビ,,UC,5,闇,,クリーチャー,伝説の再誕
4EBH,デス・ハープ,ガーゴイル,,C,5,闇,,クリーチャー,伝説の再誕
SYBG,傀儡将ボルギーズ,デーモン・コマンド,,VR,5,闇,,クリーチャー,伝説の再誕
V4BG,呪縛の剣豪バロスト,デーモン・コマンド,,VR,6,闇,,クリーチャー,伝説の再誕
MQBH,恐怖の影スクリーム・アサシン,ゴースト,,R,6,闇,,クリーチャー,伝説の再誕
4EBG,黒神龍イゾリストヴァル,ドラゴン・ゾンビ,,R,6,闇,,クリーチャー,伝説の再誕
PUBG,超神龍アブゾ・ドルバ,ドラゴン・ゾンビ,,SR,6,闇,,クリーチャー,伝説の再誕
MQBG,凶骨の邪将クエイクス,デーモン・コマンド,,SR,7,闇,,クリーチャー,伝説の再誕
