id,name,tribe1,tribe2,rarity,cost,culture1,culture2,category,series
PUBI,ピーカプのドライバー,ゼノパーツ,,R,2,火,,クリーチャー,伝説の再誕
V4BJ,エナジー・チャージャー,呪文,,C,3,火,,呪文,伝説の再誕
MQBJ,エグゼズ・ワイバーン,アーマード・ワイバーン,,C,3,火,,クリーチャー,伝説の再誕
JMBJ,突撃勇者アーニー,ヒューマノイド,,C,3,火,,クリーチャー,伝説の再誕
GIBJ,クリムゾン・チャージャー,呪文,,UC,4,火,,呪文,伝説の再誕
PUBJ,紅神龍メルガルス,ボルケーノ・ドラゴン,,C,4,火,,クリーチャー,伝説の再誕
4EBI,ボルシャック・ルピア,ファイアー・バード,,UC,4,火,,クリーチャー,伝説の再誕
AABJ,爆竜兵ドラグストライク,ドラゴノイド,,UC,5,火,,クリーチャー,伝説の再誕
ZABI,サウザンド・スピア,呪文,,R,6,火,,呪文,伝説の再誕
V4BI,紅神龍オグリストヴァル,ボルケーノ・ドラゴン,,R,6,火,,クリーチャー,伝説の再誕
SYBI,テンペストザウルス,ロック・ビースト,,R,6,火,,クリーチャー,伝説の再誕
SYBJ,ボルテール・ドラゴン,アーマード・ドラゴン,,C,6,火,,クリーチャー,伝説の再誕
DEBJ,ボルカニック・ザウルス,ロック・ビースト,,UC,6,火,,クリーチャー,伝説の再誕
DEBI,紅神龍バルガゲイザー,アーマード・ドラゴン,,SR,6,火,,クリーチャー,伝説の再誕
GIBI,超龍バジュラ,アーマード・ドラゴン,,SR,7,火,,クリーチャー,伝説の再誕
JMBI,ボルシャック・スピード・ドラゴン,アーマード・ドラゴン,,VR,8,火,,クリーチャー,伝説の再誕
MQBI,グラディアン・レッド・ドラゴン,アーマード・ドラゴン,,VR,10,火,,クリーチャー,伝説の再誕
