id,name,tribe1,tribe2,rarity,cost,culture1,culture2,category,series
4EBF,トリア,サイバーロード,,C,1,水,,クリーチャー,伝説の再誕
V4BE,アストラル・リーフ,サイバー・ウイルス,,SR,2,水,,クリーチャー,伝説の再誕
DEBF,フェアリー・キャンドル,サイバー・ウイルス,,R,2,水,,クリーチャー,伝説の再誕
ZABE,エンペラー・ジュニア,サイバーロード,,VR,3,水,,クリーチャー,伝説の再誕
DEBG,キャンディ・クラスター,サイバー・クラスター,,C,3,水,,クリーチャー,伝説の再誕
AABG,シャン・ゼリー,サイバー・ウイルス,,C,3,水,,クリーチャー,伝説の再誕
MQBF,ウェーブ・ランス,呪文,,R,3,水,,呪文,伝説の再誕
4EBE,アクアン,サイバーロード,,SR,4,水,,クリーチャー,伝説の再誕
GIBG,ウォール・クラスター,サイバー・クラスター,,C,4,水,,クリーチャー,伝説の再誕
ZABF,ブレイン・チャージャー,呪文,,UC,4,水,,呪文,伝説の再誕
PUBF,ストーク・クロウラー,アースイーター,,UC,5,水,,クリーチャー,伝説の再誕
JMBG,スパイラル・チャージャー,呪文,,C,5,水,,呪文,伝説の再誕
SYBF,メカピン,サイバーロード,,UC,6,水,,クリーチャー,伝説の再誕
GIBF,アクア・バウンサー,リキッド・ピープル,,R,6,水,,クリーチャー,伝説の再誕
JMBF,エウロピカ,シー・ハッカー,,R,7,水,,クリーチャー,伝説の再誕
V4BF,シャインシェル・クラスター,サイバー・クラスター,,UC,7,水,,クリーチャー,伝説の再誕
AABF,キング・アトランティス,リヴァイアサン,,VR,12,水,,クリーチャー,伝説の再誕
