id,name,tribe1,tribe2,rarity,cost,culture1,culture2,category,series
JMBW,スクランブル・ブースター,呪文,,UC,1,火,,呪文,英雄の時空
DEBW,一撃勇者ホノオ,ヒューマノイド,,UC,2,火,,クリーチャー,英雄の時空
MQBW,ジョーのツールキット,ゼノパーツ,,C,2,火,,クリーチャー,英雄の時空
PUBW,ブラッドのカッター,ゼノパーツ,,C,2,火,,クリーチャー,英雄の時空
V4BW,肉弾兵ウルティモ,ドラゴノイド,,C,3,火,,クリーチャー,英雄の時空
SYBW,爆撃闘士カーバイン,ヒューマノイド,,C,3,火,,クリーチャー,英雄の時空
4EBV,マイキーのペンチ,ゼノパーツ,,R,4,火,,クリーチャー,英雄の時空
GIBW,機神装甲ガンダヴァル,ヒューマノイド,,UC,5,火,,クリーチャー,英雄の時空
AABW,爆炎竜舞,呪文,,R,7,火,,呪文,英雄の時空
SYBV,紅神龍ジャガルザー,ボルケーノ・ドラゴン,,SR,6,火,,クリーチャー,英雄の時空
V4BV,ガルクライフ・ドラゴン,アーマード・ドラゴン,,SR,7,火,,クリーチャー,英雄の時空
ZABV,ダブルソード・レッド・ドラゴン,アーマード・ドラゴン,,VR,7,火,,クリーチャー,英雄の時空
